164,36,3.31,0.340695074,53.50948705
182,194,2.07,0.914236284,24.63792448
30,192,3.7,0.608813717,24.90615821
183,100,3.87,0.299917677,56.13180659
128,161,3.36,0.351020987,48.79145679
24,33,3.51,0.351759136,47.69874175
59,87,3.48,0.352030538,46.07380922
112,184,2.78,0.473338678,33.15511738
192,159,3.31,0.355907059,52.8289921
193,192,2.34,0.650865889,30.72464708
5,164,2.53,0.797309355,6.27890655
5,5,2,0.81380083,10.35091959
200,5,2,0.839281389,34.52347361
200,5,2.72,0.396862793,60.39840186
200,200,4,0.308239177,72.07729195
5,200,2,0.829569853,2.087985227
200,5,2.42,0.658868687,61.25666692
99,5,4,0.284033014,115.7123525
96,88,2,0.906926546,27.97078873
